"","chatter","current_events","travel","photo_sharing","uncategorized","tv_film","sports_fandom","politics","food","family","home_and_garden","music","news","online_gaming","shopping","health_nutrition","college_uni","sports_playing","cooking","eco","computers","business","outdoors","crafts","automotive","art","religion","beauty","parenting","dating","school","personal_fitness","fashion","small_business","spam","adult"
"r6fibz5ot",1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"msey7bwi9",18,3,6,7,2,0,2,2,3,1,0,3,0,1,2,3,2,0,8,1,1,0,0,0,2,0,2,4,1,0,0,2,7,1,0,0
"t3jcxqrbl",3,3,1,2,2,2,0,0,1,2,0,1,0,1,0,11,0,1,6,1,1,2,0,1,1,1,0,0,0,0,1,3,0,0,0,0
"9epqr6idx",2,2,3,0,0,1,1,0,1,1,0,0,3,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"cg9a34wy2",3,1,2,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hbif25woz",8,1,0,3,0,2,0,1,1,0,0,0,0,1,6,0,1,0,0,1,2,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0
"9d6klwrp5",5,0,6,8,3,5,1,5,3,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,8,2,1,1,1,0,0,0,0,0,0
"mnyql5xbt",1,3,0,9,1,1,0,0,0,1,1,0,2,1,1,2,0,0,11,0,2,0,0,1,1,1,2,2,0,0,0,0,7,0,0,0
"xwg1tc5rv",2,1,2,0,1,2,11,0,4,2,0,0,1,0,3,0,0,0,1,2,1,0,1,1,0,0,6,0,1,0,5,1,0,0,0,0
"95s1g7odc",0,0,0,3,0,1,6,0,6,5,0,2,0,0,0,12,0,2,0,1,0,1,2,3,1,1,4,0,6,1,4,3,2,1,0,0
"37y61bwe5",8,1,4,2,0,1,1,9,1,1,0,2,3,2,2,0,2,0,3,0,5,1,0,1,0,1,0,2,0,2,1,1,1,0,0,0
"hw28pt59r",4,4,4,1,1,0,3,1,3,1,0,0,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"exhgdnlib",4,0,0,0,0,2,1,2,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"vhpfkulgq",11,1,1,5,2,0,0,1,2,0,0,0,0,2,0,2,2,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0
"sg98bkvcx",2,2,16,0,0,0,0,13,1,5,1,1,2,0,0,12,3,1,3,1,4,0,1,1,3,2,4,0,1,2,1,4,1,2,0,0
"ltd3zm4ev",7,1,2,5,0,0,2,2,1,2,1,2,0,1,4,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"5lr4tm6qi",9,2,2,2,0,0,3,11,0,3,0,0,19,3,5,0,6,2,2,4,0,1,1,0,13,0,0,0,2,0,0,0,2,0,0,0
"vi7w5ued2",15,2,1,5,1,4,2,4,2,2,1,1,1,1,4,2,1,0,0,1,2,0,0,1,2,11,0,0,0,1,0,0,0,1,0,0
"ry8q36ekx",7,0,0,2,0,1,0,0,1,1,0,3,0,1,2,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0
"ghxvekycw",10,0,0,4,1,4,1,2,7,1,0,1,0,0,3,1,3,1,1,1,1,2,0,0,2,5,0,0,0,0,3,1,0,0,0,0
"pnzco8kgh",7,1,3,2,4,1,1,8,1,1,0,0,1,0,2,2,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,6
"fbcrt64jp",1,0,6,1,0,1,1,5,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"tuo93m5cf",3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0
"fe523ny1h",3,1,1,4,1,1,2,0,5,3,2,1,1,6,3,13,5,4,5,1,0,0,3,0,1,0,0,0,0,0,0,10,0,0,0,0
"caig7pjqr",3,3,0,1,1,0,0,3,0,1,2,0,5,1,1,1,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,12
"vqtz76msc",1,2,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rdsa34gzo",3,2,7,4,0,1,1,10,1,1,1,1,5,4,0,1,1,0,1,0,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"zs91gahbe",0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,5,0,1,1,1,0,2,5,0,0,0,0,0,0,0,0,4,1,0,0,0
"h8v6ke5pi",6,0,0,1,3,1,2,6,7,2,1,0,2,1,2,11,0,2,3,0,2,3,6,2,1,0,3,0,2,0,4,10,0,0,0,0
"leb1kfg9d",1,0,0,0,0,3,0,0,0,1,0,1,1,1,1,0,3,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"yhzx78ep5",1,0,1,5,0,0,2,9,1,1,0,0,10,11,0,0,5,1,1,0,2,0,2,0,5,1,0,0,2,0,0,0,0,0,0,0
"wy3foul9m",12,2,1,4,2,0,1,0,0,1,1,1,0,0,1,5,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0
"nw8yo26gc",8,3,1,6,1,1,2,1,0,0,0,0,1,1,4,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,3,0,0,0
"nev69b8yj",16,2,4,8,0,0,7,1,4,3,0,1,0,1,5,0,1,1,0,0,1,2,0,0,3,0,2,0,4,0,0,0,1,0,0,0
"yehtbx1ri",4,0,0,4,1,0,1,0,0,0,2,0,0,0,1,1,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0
"igeqz6mxf",7,4,2,3,0,0,0,2,0,3,0,0,0,7,3,3,12,4,1,2,0,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0
"zbsa7mphc",3,4,0,1,0,1,0,1,0,0,0,1,0,0,0,10,0,1,4,0,0,1,2,1,0,0,0,0,0,1,0,4,0,0,0,0
"fwvro71t2",2,3,0,1,1,4,5,0,4,3,0,2,1,21,0,1,17,3,0,0,1,0,0,0,1,1,1,0,2,1,3,0,0,1,0,0
"2feyhmsrt",4,4,0,2,2,0,2,2,3,0,1,1,1,1,3,16,1,2,5,0,2,1,6,1,0,1,2,2,3,1,0,11,1,0,0,0
"9l4ain328",8,1,0,3,2,1,1,2,3,0,2,1,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,8,1,1,0,0,0,4
"zd8vw7a2y",2,1,0,1,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,1,1,0,1,3,1,1,4,0,2,1,1,1,0,1,0,1
"mpi41zwft",6,3,3,8,2,1,0,1,0,1,0,1,0,2,2,6,4,1,4,5,0,0,0,1,1,1,0,0,0,2,1,1,2,0,0,1
"uezhcofw7",6,4,0,2,1,0,3,1,3,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,4,1,2,0,1,2,0,1,0,0
"8uzoqx6jb",2,2,1,2,1,6,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"nt1kpre3c",2,2,1,0,0,1,0,0,4,1,0,1,0,0,0,13,0,2,2,0,1,0,3,0,0,0,2,1,1,1,0,9,0,0,0,0
"tiy7hjnzq",1,4,1,2,0,0,8,0,3,1,1,0,0,3,0,0,0,2,0,1,2,0,0,1,2,0,11,1,5,0,2,0,0,0,0,0
"s76if8hnu",3,2,1,2,2,0,0,1,2,1,0,0,1,0,0,11,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,6,0,0,0,0
"4xwnyhz65",7,1,0,4,0,0,1,0,0,0,0,0,0,0,4,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0
"rjd4gsqn1",2,0,1,5,3,0,0,0,1,2,2,0,1,0,2,5,2,2,6,1,3,0,0,1,0,0,1,0,1,0,2,6,8,1,0,0
"zgyh483b9",10,1,4,3,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ztu5pnsvc",2,1,3,0,2,0,13,2,4,4,1,1,1,2,0,5,0,0,2,2,1,0,1,2,1,2,1,2,5,1,4,2,0,0,0,0
"8vkb261hj",3,1,0,1,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0
"m13dlej7c",0,2,11,1,1,1,1,12,3,0,1,2,2,0,0,0,0,1,0,0,2,2,0,0,0,0,3,0,0,1,1,1,0,1,0,0
"f69ib1way",1,2,3,0,1,5,2,0,1,0,0,0,0,0,1,4,3,0,1,1,1,0,0,0,1,3,0,0,0,0,0,3,1,1,0,0
"fosn6cwb2",7,2,1,7,2,0,4,0,4,2,2,2,1,15,4,1,14,4,0,3,0,0,0,0,2,3,8,1,2,0,4,5,0,1,0,0
"54pmo9qwi",3,1,3,3,0,0,1,3,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
"a5vly1ur3",8,2,2,7,1,1,0,0,3,1,0,1,0,14,1,6,11,1,2,0,1,0,0,2,1,0,0,1,0,0,1,2,0,0,0,0
"apgsjlt81",5,0,0,1,0,1,4,0,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,1,1,1,2,1,3,0,0,0,1,0,0,0
"tm9ba1yr5",2,2,1,3,1,1,3,1,1,0,0,1,0,1,1,4,0,0,1,0,0,0,3,0,1,0,0,0,0,0,1,1,0,1,0,0
"zyroqxmh9",3,6,2,3,0,1,1,2,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
"u2s5yxijl",4,1,0,3,0,0,2,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"cizel9r4w",6,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,3,0,1,1,1,0,0
"m72zgy8i1",0,1,0,5,0,2,1,0,0,3,0,1,1,0,0,5,0,1,10,1,1,2,1,0,0,2,2,2,0,2,1,9,1,0,0,0
"crjufposq",2,0,1,3,0,0,7,1,7,2,0,2,1,3,3,1,11,1,1,1,0,1,0,2,0,1,4,1,7,0,1,0,0,0,0,0
"3uh6d9xba",3,2,3,4,4,9,1,1,3,0,1,0,3,0,1,1,0,0,0,0,0,1,1,1,0,11,0,1,0,8,1,0,0,2,0,0
"zw4y7hxb1",5,2,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blo8pd4wh",9,2,1,4,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"qe4oz5f61",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"7nv9xg6aq",4,2,1,1,1,4,1,1,0,2,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,3,4,1,1,1,2,0,1,0,0,0
"ec263pgjm",5,2,3,4,1,1,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,2,0,0,0,1,2,1,0,0
"gq6dmnvlb",1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"tlukbyv25",2,1,3,0,1,0,0,3,1,0,0,1,4,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"h82spwl67",14,3,5,7,2,11,0,7,0,3,1,1,2,1,11,2,1,0,1,0,4,0,0,7,0,15,2,0,0,1,0,0,0,3,0,0
"eciky6b1t",0,2,1,0,0,1,0,2,0,0,1,0,1,2,0,2,0,0,0,1,2,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
"6wxmjy8ef",6,0,1,3,0,0,0,3,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oqvtjcwhr",3,1,0,0,0,0,6,4,1,1,0,1,12,2,1,0,0,1,0,0,0,0,2,0,6,0,1,1,2,0,0,0,0,0,0,0
"c9n8dhvuy",3,1,2,1,0,1,0,1,4,1,1,0,2,1,0,13,0,1,4,0,2,0,1,0,1,1,0,0,0,0,0,10,0,0,0,0
"r4xoyalqk",0,1,0,4,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"pqn5x8ej7",3,3,0,1,2,0,3,4,2,0,0,1,5,1,3,0,1,1,0,0,0,0,1,1,4,0,0,0,2,0,2,0,0,0,0,0
"5ucjv1nps",12,1,0,4,2,0,1,1,0,1,1,1,1,5,3,0,4,1,0,1,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0
"wgd1fpuc9",1,0,0,1,0,0,1,1,0,0,0,2,1,1,3,8,2,0,1,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0
"l1o8rmpwj",5,1,1,0,0,0,1,1,0,1,1,0,0,5,0,1,8,3,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
"2y8l9dgoc",2,0,2,3,0,0,1,1,1,0,0,0,1,5,1,0,4,0,8,0,2,0,0,0,1,2,1,0,0,0,1,0,2,0,0,0
"f1832wuam",5,0,2,3,1,1,0,2,0,1,0,1,0,1,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0
"n17cpob5a",7,4,2,1,2,1,0,0,0,0,1,0,0,1,1,5,0,0,2,0,0,1,1,0,1,1,1,0,3,6,0,7,4,1,0,7
"l972zuj1k",1,1,1,1,4,1,7,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,3,0,2,0,1,0,3,1,0,0
"xjqsm53pr",2,0,0,2,0,1,1,0,1,1,0,0,0,4,1,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"x9s4ayu3k",1,3,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"8gjt2exz6",14,5,0,12,2,0,0,0,0,0,2,1,0,0,5,6,1,1,3,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,0,0
"6mi9ruzks",6,2,0,3,0,1,0,2,1,0,0,0,0,10,1,3,10,3,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
"x6c47m95s",1,0,0,1,1,0,11,0,15,5,0,2,1,0,1,1,0,0,2,0,2,0,1,2,0,0,9,1,6,0,2,0,2,0,0,0
"3jonf2csd",1,2,2,1,1,0,4,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,1,0,0,0,0,0,0
"wsrvg1fkh",1,3,0,0,2,0,1,8,1,2,1,2,4,1,1,1,0,2,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0
"o2fhknqa4",1,1,2,1,0,0,8,5,0,2,1,1,5,1,0,0,1,0,1,0,0,0,1,0,6,1,1,0,1,0,0,0,0,0,0,0
"vna9h2wbi",10,1,1,9,0,1,8,2,3,2,0,0,0,0,0,4,0,1,7,1,0,2,3,0,2,2,4,1,2,0,3,2,0,2,0,0
"6dcx15ifz",5,3,7,12,0,1,1,12,2,2,2,1,8,0,4,2,0,2,1,0,1,2,1,2,3,0,0,2,2,3,2,4,1,2,0,0
"3onue9izh",7,0,1,2,0,0,4,1,4,1,0,0,1,0,2,0,0,3,1,0,0,1,0,1,1,0,7,3,1,0,4,0,0,0,0,0
"ve62z8xw1",7,1,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0
"6qxbjumcg",5,0,1,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,2,0,0,0,0,4,0,0,0
"ohz1nx78w",12,1,2,2,1,0,1,1,1,0,0,0,1,0,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"ts91aljui",4,2,0,3,1,0,0,0,2,1,1,0,1,0,2,17,0,1,0,2,0,1,2,0,0,0,0,1,0,3,0,4,0,0,0,0
"qkh9wurjz",8,2,0,9,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"idzs9ec8r",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,1,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0
"wj71cekqi",3,1,1,1,1,1,1,0,1,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,1
"63bsan7i8",4,3,1,0,1,1,0,0,1,1,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"ct95vbfhs",3,2,1,2,3,0,6,3,0,0,0,3,5,1,1,1,8,0,6,0,2,0,0,0,3,0,2,1,0,0,0,2,3,0,0,0
"mr7s63q95",1,0,1,1,1,0,4,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,2,1,0,2,0,0,0,0,0
"igu3zyhjs",3,0,7,1,1,2,1,10,3,0,0,1,6,0,0,1,0,0,0,0,3,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0
"ws2b5njdt",2,3,0,2,2,0,1,0,1,0,0,1,1,0,2,7,1,0,6,0,0,0,1,2,1,0,0,2,0,1,1,1,5,0,0,0
"h69jcygd4",18,4,0,9,1,0,0,2,1,0,1,1,0,1,6,8,1,0,3,0,0,1,1,0,2,0,1,0,1,1,0,4,1,0,0,0
"1lpfjn876",2,3,0,2,1,0,0,2,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0
"dlzerjiv7",2,1,10,2,2,0,1,9,1,0,0,0,0,0,0,15,1,1,4,0,3,1,2,0,0,0,0,1,0,1,1,3,0,0,0,0
"6tpix78m4",4,0,5,1,2,4,1,0,2,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,1,0,2,1,0,0
"dfzh765qc",1,1,3,3,0,0,1,0,0,2,1,1,0,2,0,0,1,0,2,0,0,1,2,0,2,1,0,0,0,1,0,0,0,0,0,3
"qkdf4uvys",8,1,1,3,2,0,0,0,1,1,0,0,1,2,1,1,2,1,3,0,0,0,0,1,0,1,3,5,2,18,7,0,3,0,0,0
"e2l7rdbxf",2,1,2,0,0,0,0,0,0,0,2,0,1,1,1,1,1,0,4,0,0,1,0,0,1,1,0,3,1,0,0,0,1,0,0,0
"7b3t2nf4g",9,2,0,6,0,0,0,1,1,2,1,1,1,0,6,1,0,1,0,1,1,1,0,0,1,0,2,0,1,1,1,0,0,1,0,0
"ayl965i2d",1,2,0,3,1,1,5,1,5,5,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0
"zmi8sc6bf",10,1,3,5,0,2,1,1,3,0,1,0,1,0,5,0,0,0,0,1,0,0,0,1,1,0,1,0,1,2,2,1,5,0,0,0
"kqav5dc6t",3,4,0,0,1,3,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"ontei7bx4",2,0,0,2,0,0,0,0,4,1,1,0,0,1,1,0,0,1,0,3,0,0,0,2,0,0,3,2,3,0,0,0,0,0,0,0
"zipvsanqg",0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"nyqafzdk3",2,0,2,0,1,1,3,1,0,0,0,1,2,0,1,0,2,1,0,1,0,1,2,0,0,1,1,1,1,4,1,1,1,0,0,3
"8hytwk3vo",1,3,1,1,2,1,7,0,5,2,0,0,0,0,0,6,0,0,1,1,0,0,0,1,1,0,1,1,4,0,1,1,0,0,0,0
"3ghyikazn",3,0,1,0,0,0,2,0,0,0,0,0,3,1,1,0,0,1,0,1,0,1,0,1,2,1,0,0,1,1,0,0,0,0,0,0
"n7pxhscfv",1,3,0,2,3,0,2,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"9q8rfbnpi",1,1,2,0,0,2,6,0,4,4,0,1,0,0,0,0,2,0,1,2,0,0,0,5,0,1,9,0,5,0,3,0,0,0,0,0
"zp2y6ieou",5,2,2,5,0,3,8,5,4,0,2,0,7,2,3,14,0,2,0,3,0,2,5,3,6,0,1,0,1,1,0,14,1,0,0,0
"ct789s5du",6,2,0,4,1,1,4,0,4,0,0,0,0,0,5,0,4,1,2,1,0,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0
"h3rbvmdqy",16,4,1,8,2,7,1,2,2,0,0,4,0,0,4,0,7,2,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
"ayg61v2zi",4,3,3,2,2,1,1,0,4,2,1,1,2,0,0,8,4,1,0,0,0,0,3,0,0,0,2,0,1,0,2,2,0,0,0,0
"5hnitygrv",7,2,2,3,1,1,11,1,5,4,1,0,0,3,0,1,0,2,1,1,1,2,0,0,0,0,9,0,8,0,7,0,0,0,0,0
"f9w6sqoar",3,3,0,0,1,0,2,3,0,0,0,1,3,1,0,0,0,1,0,0,0,1,0,0,0,3,0,2,1,8,1,0,2,1,0,0
"axyvr4oei",2,2,6,1,0,1,1,9,1,1,0,2,3,1,0,1,0,0,1,0,4,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0
"imnpq6ylw",6,2,0,4,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0
"v5jpo3nwf",6,2,0,3,1,0,0,1,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0
"xmrowkv4u",4,1,0,0,0,0,2,3,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0
"ayeurbvwx",8,2,2,7,1,2,0,0,1,1,2,0,1,18,1,2,4,1,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
"ij58ves6h",1,2,0,1,0,0,10,0,5,4,0,1,1,7,0,1,5,6,0,0,4,0,0,3,1,2,6,2,7,3,4,1,0,0,0,0
"62yixpq9f",1,1,0,0,1,1,1,0,0,1,0,1,0,11,0,0,10,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0
"9pmjbhlfs",9,2,0,1,0,1,0,1,2,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"f698k4bhr",3,2,3,1,1,0,3,0,4,3,0,0,0,2,1,0,0,1,0,2,2,0,0,0,2,1,3,0,2,0,4,2,0,2,0,6
"573fzhr2p",3,4,1,6,1,1,2,0,0,0,0,1,0,7,3,0,13,0,15,1,1,1,2,0,1,1,2,1,0,1,0,1,10,0,0,0
"azsuktlno",9,1,1,6,1,0,0,4,1,2,2,1,5,1,7,0,0,0,5,4,1,0,1,0,4,1,0,1,1,0,1,0,4,0,0,0
"zomgd7nv5",5,1,1,4,1,1,2,1,5,0,0,2,0,2,1,0,2,0,1,1,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0
"m4dkjyg83",3,1,1,1,0,0,1,3,0,1,1,0,4,1,0,0,0,0,0,1,1,0,2,0,4,0,0,2,1,0,0,1,0,0,0,0
"di8wrqvgf",1,0,0,2,0,0,2,1,1,0,0,1,0,0,2,18,0,0,2,3,0,0,3,0,0,1,0,0,2,1,0,8,1,0,0,0
"ibufnmxwh",2,2,4,0,0,0,2,2,2,2,0,0,2,0,1,0,1,0,2,0,0,0,3,0,1,1,0,0,0,0,1,2,0,0,0,9
"6x85capkb",0,3,1,0,1,4,0,0,2,1,2,0,1,0,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"zhwr4dp6g",2,1,2,6,1,3,1,0,1,3,1,0,1,20,2,1,23,6,0,2,0,0,0,1,2,1,2,0,2,1,0,0,1,0,0,0
"zw2rjkvuf",5,0,2,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"v1hkufmoa",7,1,2,0,2,3,0,1,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"dhqyse1ij",7,2,0,5,2,1,1,2,1,2,2,0,1,0,2,2,0,0,0,1,0,0,1,1,0,0,2,0,0,1,0,3,1,0,0,0
"4tgp12rc5",1,3,13,1,0,0,0,13,2,2,0,1,4,0,1,2,0,1,1,1,3,1,0,2,1,1,2,1,0,1,0,1,0,0,0,0
"2w6fanlv8",4,0,3,2,2,1,1,0,0,0,1,1,1,0,1,0,4,1,1,0,2,1,0,0,0,0,0,3,0,9,1,0,3,0,0,0
"64v5nukdw",0,3,0,1,0,2,3,5,1,0,0,2,5,0,0,4,0,0,1,0,0,0,2,0,2,1,1,0,1,0,0,6,1,0,0,0
"384c5zb2w",1,1,11,3,0,1,0,8,5,0,1,0,3,0,0,2,1,0,5,0,8,2,0,2,0,2,0,0,2,1,0,0,5,0,0,0
"k7vl9wo5j",5,1,0,3,1,0,0,0,0,1,1,0,0,0,3,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
"cehj91sb8",4,1,0,6,2,1,1,0,0,1,1,0,1,0,2,0,0,2,12,0,1,0,1,0,0,0,1,4,1,0,1,1,4,0,0,0
"2xsypl691",5,1,1,5,0,3,2,7,0,0,0,1,5,2,1,2,2,0,4,0,0,0,2,0,6,0,2,1,0,1,0,0,3,0,0,0
"lz2cm4hvs",20,4,1,15,0,0,1,0,0,0,0,0,2,0,5,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,1,0,0
"rgvixcmzs",8,3,1,2,0,4,0,0,2,0,1,0,1,1,2,6,1,0,1,0,1,1,3,1,0,0,0,0,1,0,1,1,1,0,0,0
"981xs2clz",0,1,1,2,0,3,0,1,1,0,0,4,0,1,0,0,4,0,2,0,1,1,0,1,2,0,3,0,1,0,0,0,0,2,0,0
"hxemvo5b3",4,0,1,0,1,1,0,1,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"3t12zurw4",3,3,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"qf94vgcia",5,2,1,2,0,1,1,2,1,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0
"mrlapbeih",4,2,0,5,0,0,1,0,0,2,0,1,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"emx8bs7w5",3,3,0,2,0,0,13,1,6,1,1,1,1,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,6,0,4,1,1,1,0,0
"56rfymul2",5,2,2,5,1,0,4,0,5,1,2,0,2,0,1,0,2,1,8,0,1,0,1,0,1,1,7,6,8,0,4,0,1,1,0,0
